sample_id,ticker,forecast_time,prediction,original_confidence,confidence_without_cited_evidence,confidence_drop,temporal_validity,evidence_support,faithfulness_label,counterevidence_coverage,counterevidence_detected
AAPL_2025-03-12_0900,AAPL,2025-03-12 09:00,UP,0.6,0.2,0.39999999999999997,1.0,0.6666666666666666,HIGH,1.0,True
GOOGL_2025-03-12_0900,GOOGL,2025-03-12 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AMZN_2025-03-12_0900,AMZN,2025-03-12 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
META_2025-03-12_0900,META,2025-03-12 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
AAPL_2025-03-13_0900,AAPL,2025-03-13 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
GOOGL_2025-03-13_0900,GOOGL,2025-03-13 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
AMZN_2025-03-13_0900,AMZN,2025-03-13 09:00,UP,0.7,0.2,0.49999999999999994,1.0,0.75,HIGH,1.0,True
META_2025-03-13_0900,META,2025-03-13 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AAPL_2025-03-14_0900,AAPL,2025-03-14 09:00,UP,0.6,0.2,0.39999999999999997,1.0,0.6666666666666666,HIGH,1.0,True
GOOGL_2025-03-14_0900,GOOGL,2025-03-14 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AMZN_2025-03-14_0900,AMZN,2025-03-14 09:00,DOWN,0.6,0.2,0.39999999999999997,1.0,0.6666666666666666,HIGH,1.0,True
META_2025-03-14_0900,META,2025-03-14 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AAPL_2025-03-17_0900,AAPL,2025-03-17 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
GOOGL_2025-03-17_0900,GOOGL,2025-03-17 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
AMZN_2025-03-17_0900,AMZN,2025-03-17 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
META_2025-03-17_0900,META,2025-03-17 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AAPL_2025-03-18_0900,AAPL,2025-03-18 09:00,DOWN,0.6,0.2,0.39999999999999997,1.0,0.6666666666666666,HIGH,1.0,True
GOOGL_2025-03-18_0900,GOOGL,2025-03-18 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AMZN_2025-03-18_0900,AMZN,2025-03-18 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
META_2025-03-18_0900,META,2025-03-18 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AAPL_2025-03-19_0900,AAPL,2025-03-19 09:00,UP,0.6,0.2,0.39999999999999997,1.0,0.6666666666666666,HIGH,1.0,True
GOOGL_2025-03-19_0900,GOOGL,2025-03-19 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AMZN_2025-03-19_0900,AMZN,2025-03-19 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
META_2025-03-19_0900,META,2025-03-19 09:00,UP,0.7,0.25,0.44999999999999996,1.0,1.0,HIGH,0.0,False
AAPL_2025-03-20_0900,AAPL,2025-03-20 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
GOOGL_2025-03-20_0900,GOOGL,2025-03-20 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
AMZN_2025-03-20_0900,AMZN,2025-03-20 09:00,DOWN,0.6,0.2,0.39999999999999997,1.0,0.6666666666666666,HIGH,1.0,True
META_2025-03-20_0900,META,2025-03-20 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AAPL_2025-03-21_0900,AAPL,2025-03-21 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,1.0,True
GOOGL_2025-03-21_0900,GOOGL,2025-03-21 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AMZN_2025-03-21_0900,AMZN,2025-03-21 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
META_2025-03-21_0900,META,2025-03-21 09:00,DOWN,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
AAPL_2025-03-24_0900,AAPL,2025-03-24 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
GOOGL_2025-03-24_0900,GOOGL,2025-03-24 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
AMZN_2025-03-24_0900,AMZN,2025-03-24 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
META_2025-03-24_0900,META,2025-03-24 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
AAPL_2025-03-25_0900,AAPL,2025-03-25 09:00,DOWN,0.6,0.2,0.39999999999999997,1.0,0.6666666666666666,HIGH,1.0,True
GOOGL_2025-03-25_0900,GOOGL,2025-03-25 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AMZN_2025-03-25_0900,AMZN,2025-03-25 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
META_2025-03-25_0900,META,2025-03-25 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AAPL_2025-03-26_0900,AAPL,2025-03-26 09:00,UP,0.6,0.2,0.39999999999999997,1.0,0.6666666666666666,HIGH,1.0,True
GOOGL_2025-03-26_0900,GOOGL,2025-03-26 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AMZN_2025-03-26_0900,AMZN,2025-03-26 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
META_2025-03-26_0900,META,2025-03-26 09:00,UP,0.7,0.25,0.44999999999999996,1.0,1.0,HIGH,0.0,False
AAPL_2025-03-27_0900,AAPL,2025-03-27 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
GOOGL_2025-03-27_0900,GOOGL,2025-03-27 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
AMZN_2025-03-27_0900,AMZN,2025-03-27 09:00,DOWN,0.6,0.2,0.39999999999999997,1.0,0.6666666666666666,HIGH,1.0,True
META_2025-03-27_0900,META,2025-03-27 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AAPL_2025-03-28_0900,AAPL,2025-03-28 09:00,UP,0.6,0.2,0.39999999999999997,1.0,0.6666666666666666,HIGH,1.0,True
GOOGL_2025-03-28_0900,GOOGL,2025-03-28 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AMZN_2025-03-28_0900,AMZN,2025-03-28 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
META_2025-03-28_0900,META,2025-03-28 09:00,DOWN,0.6,0.2,0.39999999999999997,1.0,0.6666666666666666,HIGH,1.0,True
AAPL_2025-03-31_0900,AAPL,2025-03-31 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
GOOGL_2025-03-31_0900,GOOGL,2025-03-31 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
AMZN_2025-03-31_0900,AMZN,2025-03-31 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
META_2025-03-31_0900,META,2025-03-31 09:00,UP,0.7,0.25,0.44999999999999996,1.0,1.0,HIGH,0.0,False
AAPL_2025-04-01_0900,AAPL,2025-04-01 09:00,UP,0.6,0.2,0.39999999999999997,1.0,0.6666666666666666,HIGH,1.0,True
GOOGL_2025-04-01_0900,GOOGL,2025-04-01 09:00,DOWN,0.6,0.2,0.39999999999999997,1.0,0.6666666666666666,HIGH,1.0,True
AMZN_2025-04-01_0900,AMZN,2025-04-01 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
META_2025-04-01_0900,META,2025-04-01 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AAPL_2025-04-02_0900,AAPL,2025-04-02 09:00,UP,0.6,0.2,0.39999999999999997,1.0,0.6666666666666666,HIGH,1.0,True
GOOGL_2025-04-02_0900,GOOGL,2025-04-02 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AMZN_2025-04-02_0900,AMZN,2025-04-02 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
META_2025-04-02_0900,META,2025-04-02 09:00,DOWN,0.6,0.2,0.39999999999999997,1.0,0.6666666666666666,HIGH,1.0,True
AAPL_2025-04-03_0900,AAPL,2025-04-03 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
GOOGL_2025-04-03_0900,GOOGL,2025-04-03 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
AMZN_2025-04-03_0900,AMZN,2025-04-03 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
META_2025-04-03_0900,META,2025-04-03 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AAPL_2025-04-04_0900,AAPL,2025-04-04 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
GOOGL_2025-04-04_0900,GOOGL,2025-04-04 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AMZN_2025-04-04_0900,AMZN,2025-04-04 09:00,UP,0.7,0.25,0.44999999999999996,1.0,1.0,HIGH,0.0,False
META_2025-04-04_0900,META,2025-04-04 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
AAPL_2025-04-07_0900,AAPL,2025-04-07 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
GOOGL_2025-04-07_0900,GOOGL,2025-04-07 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AMZN_2025-04-07_0900,AMZN,2025-04-07 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
META_2025-04-07_0900,META,2025-04-07 09:00,DOWN,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
AAPL_2025-04-08_0900,AAPL,2025-04-08 09:00,UP,0.7,0.2,0.49999999999999994,1.0,0.75,HIGH,1.0,True
GOOGL_2025-04-08_0900,GOOGL,2025-04-08 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AMZN_2025-04-08_0900,AMZN,2025-04-08 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
META_2025-04-08_0900,META,2025-04-08 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AAPL_2025-04-09_0900,AAPL,2025-04-09 09:00,UP,0.6,0.2,0.39999999999999997,1.0,0.6666666666666666,HIGH,1.0,True
GOOGL_2025-04-09_0900,GOOGL,2025-04-09 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AMZN_2025-04-09_0900,AMZN,2025-04-09 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
META_2025-04-09_0900,META,2025-04-09 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
AAPL_2025-04-10_0900,AAPL,2025-04-10 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
GOOGL_2025-04-10_0900,GOOGL,2025-04-10 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
AMZN_2025-04-10_0900,AMZN,2025-04-10 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
META_2025-04-10_0900,META,2025-04-10 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
AAPL_2025-04-11_0900,AAPL,2025-04-11 09:00,DOWN,0.6,0.2,0.39999999999999997,1.0,0.6666666666666666,HIGH,1.0,True
GOOGL_2025-04-11_0900,GOOGL,2025-04-11 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AMZN_2025-04-11_0900,AMZN,2025-04-11 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
META_2025-04-11_0900,META,2025-04-11 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AAPL_2025-04-14_0900,AAPL,2025-04-14 09:00,UP,0.7,0.2,0.49999999999999994,1.0,0.75,HIGH,1.0,True
GOOGL_2025-04-14_0900,GOOGL,2025-04-14 09:00,DOWN,0.6,0.2,0.39999999999999997,1.0,0.6666666666666666,HIGH,1.0,True
AMZN_2025-04-14_0900,AMZN,2025-04-14 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
META_2025-04-14_0900,META,2025-04-14 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
AAPL_2025-04-15_0900,AAPL,2025-04-15 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
GOOGL_2025-04-15_0900,GOOGL,2025-04-15 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
AMZN_2025-04-15_0900,AMZN,2025-04-15 09:00,UP,0.6,0.25,0.35,1.0,1.0,HIGH,0.0,False
META_2025-04-15_0900,META,2025-04-15 09:00,HOLD,0.5,0.5,0.0,1.0,1.0,LOW,0.0,False
